clip_name,video_url,clip_duration,rating
12YearsASlave_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mATmozWnlMMll3cUE/view?usp=share_link&resourcekey=0-xP93KAr3k8Fnoi7-5F7HAA,150.48,negative
28DaysLater_clip_2,https://drive.google.com/file/d/0B5S5TDsmc6mASkpUNWluLTZWUFU/view?usp=share_link&resourcekey=0-9Qq3m60KESM-6C6bcitQwQ,103.38,negative
28DaysLater_clip_3,https://drive.google.com/file/d/0B5S5TDsmc6mANXl2MVR3TklCYWc/view?usp=share_link&resourcekey=0-a1q-6krOQhorLr0mbHuXPg,166.44,negative
28DaysLater_clip_4,https://drive.google.com/file/d/0B5S5TDsmc6mAQTVMWnZoTU84bVU/view?usp=share_link&resourcekey=0-UQWFZP1mVqSCvAxUKNBYWA,70.91,negative
28DaysLater_clip_5,https://drive.google.com/file/d/0B5S5TDsmc6mAT00tejFMN2NRblE/view?usp=share_link&resourcekey=0-GODpMvhFg0cfExOQB4Lw-Q,63.57,positive
28DaysLater_clip_6,https://drive.google.com/file/d/0B5S5TDsmc6mAbGNJMUdjclhnQXM/view?usp=share_link&resourcekey=0-nO2YUEKb1iT5FinsbOR_eg,54.36,negative
28DaysLater_clip_7,https://drive.google.com/file/d/0B5S5TDsmc6mAc0F4S2lvR2JITFk/view?usp=share_link&resourcekey=0-6uGocfSqQyQ_rGPMUnLVxw,128.94,negative
AFIshCalledWanda,https://drive.google.com/file/d/0B5S5TDsmc6mAeDhReWFSRUladmM/view?usp=share_link&resourcekey=0-fE0G2R49lxoPgImGSnc2FQ,176.89,positive
AmericanHistoryX_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAVllmdEp0TXpvYkU/view?usp=share_link&resourcekey=0-sPu7G0Cl1TzHD1FP29ytLQ,75.53,negative
Amputation_1,https://drive.google.com/file/d/0B5S5TDsmc6mAV2ZjZnpnZUppOUE/view?usp=share_link&resourcekey=0-E2Ue-ii_YZz2jhN8KwQmZA,67.0,negative
APerfectWorld_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAeVVncG96dVBmRTA/view?usp=share_link&resourcekey=0-P-ExIBiNXviH-worv7M6mg,297.32,negative
Bambi_clip_2,https://drive.google.com/file/d/0B5S5TDsmc6mAc2xYejdXekFxTE0/view?usp=share_link&resourcekey=0-asiji1lxo-20qgtEyLuD8w,81.53,positive
BatmanReturns(1992)_clip_2,https://drive.google.com/file/d/0B5S5TDsmc6mAV1dIbi1jckdJZDQ/view?usp=share_link&resourcekey=0-jfq44rL5TwFD9uDRGT6fWQ,78.2,positive
BikeChase_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAZzNBQVVwbzlmR1U/view?usp=share_link&resourcekey=0-5JySzjHDEgYQisgWOoNOzQ,132.05,positive
Blue_2,https://drive.google.com/file/d/0B5S5TDsmc6mAVnVQUHBrSmw2Z0k/view?usp=share_link&resourcekey=0-RCJvL7VCf1Ge-CNNRuSn4w,40.12,positive
Blue_3,https://drive.google.com/file/d/0B5S5TDsmc6mANUJHVDNBbDZkTmM/view?usp=share_link&resourcekey=0-eZtMAgruOcu65dqOchbyuQ,25.24,positive
Chucky2_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAcEFVSVpMV0RILXM/view?usp=share_link&resourcekey=0-tay1YdugtdksTN2Wfu4o5g,68.29,negative
CryFreedom_clip_2,https://drive.google.com/file/d/0B5S5TDsmc6mAME9hQXRabHVQQ1U/view?usp=share_link&resourcekey=0-WYm8XOYdaOVzOEFM3h8WiA,138.18,negative
DangerousMinds,https://drive.google.com/file/d/0B5S5TDsmc6mARVdBVXpGNUJhemM/view?usp=share_link&resourcekey=0-kHNWxWysJU3DPWDIwg7HLA,135.47,negative
DeadManWalking_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAUnp2dzJ3c1FxUE0/view?usp=share_link&resourcekey=0-6V6z8RfHv7n9kQYshgLiYQ,357.54,negative
DeadPoetsSociety_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAcFczaUpaTDg5SzA/view?usp=share_link&resourcekey=0-YFy_YN4HB6EmOvuHSeCDWw,259.72,negative
EdwardScissorhands_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAMmQ1SlF5cW9MVU0/view?usp=share_link&resourcekey=0-2lhZ3EPkw9R4MDObmNIawg,93.16,positive
ET_clip1,https://drive.google.com/file/d/0B5S5TDsmc6mAdDBEWGs0QWhCakk/view?usp=share_link&resourcekey=0-UThNrHl6qoyTB35qYBhCmA,300.35,positive
Fargo_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAcXNkTXNmZURrbTQ/view?usp=share_link&resourcekey=0-YDtoI6k7cetyIJ5WYLVhDg,47.32,negative
ForrestGump_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mATXd3dXhjU1lINFk/view?usp=share_link&resourcekey=0-PrvrzPPovCScrSgTF3BmFw,123.62,positive
Ghost_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAc2FwWXhmSmpEWEU/view?usp=share_link&resourcekey=0--CH9z3EOy2VQftJHuc5kfw,220.25,positive
Hellraiser_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAM0JlSHdVZERYamc/view?usp=share_link&resourcekey=0-wI_KknsZB-PAqD_hnnQjOA,90.02,positive
HotelRwanda_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAcmF0bVhPM2Q0NlU/view?usp=share_link&resourcekey=0-IfwQPt22p4cS-MLFnKgyWQ,63.16,positive
HotelRwanda_clip_3,https://drive.google.com/file/d/0B5S5TDsmc6mARWEzRXVQN0k4UGc/view?usp=share_link&resourcekey=0-OWyb7OUnfYotAHTmkwyiWg,88.92,positive
HotelRwanda_clip_4,https://drive.google.com/file/d/0B5S5TDsmc6mAdUdfaV9jdG44SEE/view?usp=share_link&resourcekey=0-bzoxao-0aiivN-RLZeC6Bg,219.5,negative
HotelRwanda_clip_5,https://drive.google.com/file/d/0B5S5TDsmc6mAOXFjUGxtWHlydW8/view?usp=share_link&resourcekey=0-bWXoJEnwE92Spwhi2UUL_Q,101.91,negative
